Trigger %1 has not statements available,Тригерът %1 няма заявления
Trigger name is not defined,Името на тригера не е дефинирано
Trigger name should be a string,Името на тригера трябва да бъде низ
Trigger unsupported time type,Не се поддържа такъв тип време за тригера
Trigger time is not defined,Времето на тригера не е дефинирано
Trigger unsupported event type,Не се поддържа такъв тип събитие за тригера
Trigger event is not defined,Събитието на тригера не е дефинирано
Trigger table name should be a string,Името на таблицата на тригера трябва да бъде низ
Trigger table name is not defined,Не е дефинирано името на таблицата на тригера
Trigger statement should be a string,Заявлението на тригера трябва да бъде низ
%1 doesn't implement \Magento\Framework\DB\MapperInterface,%1 не прилага \Magento\Framework\DB\MapperInterface
%1 doesn't implement \Magento\Framework\DB\QueryInterface,%1 не прилага \Magento\Framework\DB\QueryInterface
db object does not implement \Magento\Framework\DB\Adapter\AdapterInterface,db обектът не прилага \Magento\Framework\DB\Adapter\AdapterInterface
db object is not set in config,db обектът няма зададени настройки в config
Empty array of node information,Празен масив с информация за възли
Empty keys array,Празен масив с ключове
Missed Mapper Interface for Criteria Interface: %1,Пропуснат Mapper интерфейс за интерфейс Критерии: %1
Filter already exists in Criteria object: %1,Филтърът вече съществува в обект Критерии: %1
Not implemented,Не е приложен
Delete Image,Изтрий изображението
%1 doesn't extend \Magento\Framework\Data\Form,%1 не разширява \Magento\Framework\Data\Form
%1 should be an iterator,%1 трябва да бъде итератор
Element ID must not be numeric: '%1'.,Идентификаторът на елемента не трябва да е числов: '%1'.
Invalid format of group '%1': %2,Неправилен формат на групата '%1': %2
Broken parent-child relation: the '%1' is not in the nested set of '%2'.,Нарушено взаимоотношение родител-дете: '%1' не е във вложеното множество на '%2'.
Invalid format of children: %1,Неправилен формат на децата: %1
Broken parent-child relation: the '%1' is supposed to have '%2' as parent.,Нарушено взаимоотношение родител-дете: '%2' трябва да е родител на '%1'.
Element with ID '%1' already exists.,Вече съществува елемент с идентификатор '%1'.
Element with ID '%1' is already defined.,Вече е дефиниран елемент с идентификатор '%1'.
The '%1' cannot be set as child to itself.,%1' не може да бъде дете на себе си.
"The '%1' is a parent of '%2' recursively, therefore '%3' cannot be set as child to it.","%1' е родител на '%2' рекурсивно, следователно '%3' не може да му бъде дете."
The '%1' is not a child of '%2'.,%1' не е дете на '%2'.
The element '%1' already has a parent: '%2',Елементът '%1' вече има родител: '%2'
The element '%1' already a child of '%2',Елементът '%1' вече е дете на '%2'
The element '%1' already has a child with alias '%2',Елементът '%1' вече има дете с псевдоним '%2'
An array expected: %1,Очаква се масив: %1
Invalid method %1::%2,Невалиден метод %1::%2
"Object already exists in registry (%1). Old object class: %2, new object class: %3","Обектът вече съществува в хранилището (%1). Стар клас на обекта: %2, нов клас на обекта: %3"
"The reference already exists: %1. New index: %2, old index: %3","Референцията вече съществува: %1. Нов индекс: %2, стар индекс: %3"
Key must not exceed %1 bytes.,Ключът не трябва да надвишава %1 байта.
Init vector must be a string of %1 bytes.,Иниц. вектор трябва да е низ от %1 байта.
Not supported cipher version,Тази версия на шифър не се поддържа
The encryption key format is invalid.,Форматът на криптиращия ключ не е валиден.
One or more input exceptions have occurred.,Възникнаха едно или повече изключения при въвеждане.
No such entity.,Няма такъв обект.
An authentication error occurred.,Възникна грешка при автентикация.
Consumer is not authorized to access %resources,Потребителят няма разрешение за достъп до %resources
Email not confirmed,Имейлът не е потвърден
"The %fieldName value of ""%value"" must be greater than or equal to %minValue.","Стойността ""%value"" в полето %fieldName трябва да е по-голяма или равна на %minValue."
"The path ""%1"" is not writable","Пътят ""%1"" не позволява записване"
"The file ""%1"" doesn't exist or not a file","Файлът ""%1"" не съществува или не е файл"
Unknown directory type: '%1',Неизвестен тип директория: '%1'
Error occurred during execution %1,При изпълнението на %1 възникна грешка
Cannot gather stats! %1,Не може да се съберат статистически данни! %1
"Cannot read contents from file ""%1"" %2","Не може да се прочете съдържанието на файла ""%1"" %2"
"Directory ""%1"" cannot be created %2","Директория ""%1"" не може да бъде създадена %2"
"The path ""%1"" cannot be renamed into ""%2"" %3","Пътят ""%1"" не може да бъде преименуван на ""%2"" %3"
"The file or directory ""%1"" cannot be copied to ""%2"" %3","Файлът или директорията ""%1"" не може да се копира в ""%2"" %3"
"Cannot create a symlink for ""%1"" and place it to ""%2"" %3","Не може да се създаде symlink за ""%1"" и да се постави в ""%2"" %3"
"The file ""%1"" cannot be deleted %2","Файлът ""%1"" не може да бъде изтрит %2"
"The directory ""%1"" cannot be deleted %2","Директорията ""%1"" не може да бъде изтрита %2"
"Cannot change permissions for path ""%1"" %2","Не могат да се променят разрешенията за пътя ""%1"" %2"
"The file or directory ""%1"" cannot be touched %2","Файлът или директорията ""%1"" не могат да бъдат докоснати %2"
"The specified ""%1"" file could not be written %2","The specified ""%1"" file could not be written %2"
"File ""%1"" cannot be opened %2","Файлът ""%1"" не може да бъде отворен %2"
File cannot be read %1,Файлът не може да бъде прочетен %1
Wrong CSV handle %1,Грешна CSV дръжка %1
Error occurred during execution of fileSeek %1,Възникна грешка при изпълнението на fileSeek %1
Error occurred during execution of fileClose %1,Възникна грешка при изпълнението на fileClose %1
Error occurred during execution of filePutCsv %1,Възникна грешка при изпълнението на filePutCsv %1
Error occurred during execution of fileFlush %1,Възникна грешка при изпълнението на fileFlush %1
Error occurred during execution of fileLock %1,Възникна грешка при изпълнението на fileLock %1
Error occurred during execution of fileUnlock %1,Възникна грешка при изпълнението на fileUnlock %1
Please correct the download URL.,"Моля, коригирайте URL за даунлоуд."
Something went wrong while connecting to the host. Error#%1 - %2.,Възникна проблем при свързването с хоста. Грешка#%1 - %2.
"The file ""%1"" doesn't exist","Файлът ""%1"" не съществува"
"The file ""%1"" already exists","Файлът ""%1"" вече съществува"
"Cannot write to the ""%1"" file. %2","Не може да се записва във файла ""%1"". %2"
"Cannot flush the ""%1"" file. %2","Не може да се почисти файлът ""%1"". %2"
Empty host specified,Зададен е празен хост
"Could not establish FTP connection, invalid host or port","Не може да се осъществи FTP връзка, хостът или портът е невалиден"
Invalid user name or password,Грешно потребителско име или парола
Invalid path,Грешен път
Invalid file transfer mode,Грешен протокол за пренос на файлове
Please define flag code.,Моля дефинирайте код за флаг.
Unable to write file into directory product/cache. Access forbidden.,Невъзможно е да се запише файл в директория product/cache. Достъпът е забранен.
Indexer public name,Публично име на индексатор
Indexer public description,Публично описание на индексатор
Incorrect interface in %1. There is no method [ %2 ] in %3 interface,Неправилен интерфейс в %1. Метод [ %2 ] не съществува в интерфейс %3
Invalid [%1] $%2 type in %3::%4. It must be compatible with %5,Невалиден [%1] $%2 тип в %3::%4. Трябва да е съвместим с %5
Invalid [%1] $%2 type in %3::%4. It must be compatible with \\Closure,Невалиден [%1] $%2 тип в %3::%4. Трябва да е съвместим с \\Closure
Invalid method signature. Detected extra parameters in %1::%2,Невалидна сигнатура на метода. Установени са допълнителни параметри в %1::%2
Invalid method signature. Invalid method parameters count in %1::%2,Невалидна сигнатура на метода. Невалиден брой параметри на метода в %1::%2
Incompatible parameter type [%1 $%2] in %3::%4. It must be compatible with %5,Несъвместим тип параметър [%1 $%2] в %3::%4. Трябва да е съвместим с %5
Please make sure you have 'openssl' extension installed,"Моля, уверете се, че сте инсталирали разширението 'openssl'"
Cannot render error message!,Не може да се изведе съобщението за грешка!
some text,някакъв текст
The resource isn't set.,Ресурсът не е настроен.
Model collection resource name is not defined.,Не е дефинирано името на колекция от модели.
Delete operation is forbidden for current area,Операцията изтриване е забранена за текущата зона
Wrong configuration for type %1,Грешна конфигурация за типа %1
Empty identifier field name,Празно име на поле за идентификатор
Empty main table name,Празно име на главната таблица
%1 already exists.,%1 вече съществува.
%1 already exist.,%1 вече съществуват.
Invalid connection,Невалидна връзка
Invalid query,Невалидна заявка
Invalid Document: %1%2 Error: %3,Невалиден документ: %1%2 Грешка: %3
"Please upgrade your database: Run ""bin/magento setup:upgrade"" from the Magento root directory. %1The following modules are outdated:%2%3","Моля, инсталирайте по-актуална версия на базата данни: стартирайте ""bin/magento setup:upgrade"" от главната директория на Magento. %1Остарели са версиите на следните модули:%2%3"
Table %1 does not exist,Таблицата %1 не съществува
Signature method %1 is not supported,Метод на сигнатурата %1 не се поддържа
Invalid signature,Невалидна сигнатура
OAuth version %1 is not supported,Версията на OAuth %1 не се поддържа
Token is not the correct length,Токенът има неправилна дължина.
msg,msg
Message with period.,Съобщение с точка.
"Invalid type for value: ""%value"". Expected Type: ""%type"".","Невалиден тип стойност: ""%value"". Трябва да бъде тип: ""%type""."
%1 was not found in algorithms,%1 не беше открит в алгоритмите
%1 doesn't extends \Magento\Framework\Search\Dynamic\Algorithm\AlgorithmInterface,%1 не разширява \Magento\Framework\Search\Dynamic\Algorithm\AlgorithmInterface
Request name '%1' doesn't exist.,Името на request '%1' не съществува.
Request query and filters are not set,Request заявка и филтри не са зададени
Cycle found. Query %1 already used in request hierarchy,Намерен е цикъл. Заявката %1 вече е използвана в йерархията на request
Cycle found. Filter %1 already used in request hierarchy,Намерен е цикъл. Филтърът %1 вече е използван в йерархията на request
Invalid bucket type,Невалиден тип bucket
Write DB connection is not available,Не е налична връзка за записване в БД
DB storage table does not exist,Таблицата за съхранение на БД не съществува
Area code not set: Area code must be set before starting a session.,Не е зададен код на областта: Кодът на областта трябва да бъде зададен преди започването на сесия.
Invalid session %1 value.,Невалидна стойност на сесия %1.
Invalid rollback file.,Невалиден файл за възстановяване.
The rollback file does not exist.,Файлът за възстановяване не съществува.
exec function is disabled.,Функцията exec е изключена.
Unable to delete the cookie with cookieName = %name,Не може да се изтрие бисквитката с име cookieName = %name
Unable to send the cookie with cookieName = %name,Не може да се изпрати бисквитката с име cookieName = %name
"Cookie name cannot be empty and cannot contain these characters: =,; \\t\\r\\n\\013\\014","Името на бисквитката не може да бъде празно или да съдържа някой от следните символи: =,; \\t\\r\\n\\013\\014"
Unable to send the cookie. Maximum number of cookies would be exceeded.,Бисквитката не може да бъде изпратена. С това ще се надвиши максималният брой бисквитки.
Unable to send the cookie. Size of '%name' is %size bytes.,Бисквитката не може да бъде изпратена. Размерът на '%name' е %size байта.
Format type is invalid,Типът формат не е валиден
DateTime object timezone must be the same as config - %1,DateTime обектът часова зона трябва да бъде същият като в конфиг. - %1
Transition year is out of system date range.,"Годината на преход е извън обхвата от дати, зададен в системата."
Transition year is out of specified date range.,Годината на преход е извън зададения обхват от дати.
Invalid scope object,Невалиден обект диапазон
Invalid URL '%value%'.,Невалиден URL '%value%'.
Read-only property cannot be changed.,"Свойството, което позволява само четене, не може да бъде променено."
"Scope separator ""::"" cannot be used without scope identifier.","Разделителят на диапазон ""::"" не може да бъде използван без идентификатор на диапазон."
Invalid Block class name: %1,Невалидно име на клас Block: %1
Invalid Data Source class name: %1,Невалидно име на клас Data Source: %1
"Invalid type of theme domain model ""%1""","Невалиден тип модел на домейн на темата ""%1"""
Uploaded image is not valid,Каченото изображение не е валидно
Invalid image file type.,Невалиден тип на файла с изображение.
Image can not be saved.,Изображението не може да бъде запазено.
-- No Theme --,-- Без тема --
Field title can't be empty,Заглавието на полето не може да бъде празно
Theme type can't be empty,Типът на темата не може да бъде празен
Theme type is invalid,Типът на темата не е валиден
Layout must be initialized,Оформлението трябва да бъде инициализирано
Block %1 throws exception and cannot be rendered.,Блокът %1 предизвиква изключение и не може да бъде изведен.
Select Date,Изберете дата
Redirecting...,Пренасочване...
"Click <a href=""%1"">here</a> if nothing has happened","Натиснете <a href=""%1"">тук</a>, ако не се случва нищо"
"Error format ""' . . '"" contains unsupported placeholders.","Форматът на грешка ""' . . '"" съдържа контейнери, които се не поддържат."
Object DOMDocument should be created.,Трябва да се създаде обект DOMDocument.
"The requested component (""' . . '"") is not found. Before using, you must add the implementation.","Търсеният компонент (""' . . '"") не беше открит. Преди употреба трябва да добавите имплементацията."
You use an empty set.,Използвате празно множество.
"The configuration parameter ""componentType"" is a required for ""%1"" component.","Конфигурационният параметър ""componentType"" е задължителен за компонента ""%1""."
"Trying to override modular view file '%1' for theme '%2', which is not ancestor of theme '%3'","Опитвате се да отхвърлите файла за модулен изглед '%1' на темата '%2', която не е предшественик на темата '%3'"
Invalid block type,Невалиден тип блок
Invalid block type: %1,Невалиден тип блок: %1
"Html tag ""%1"" is forbidden for usage in containers. Consider to use one of the allowed: %2.","Забранено е да се ползва HTML тагът ""%1"" в контейнери. Обмислете използването на някой от разрешените: %2."
"HTML ID or class will not have effect, if HTML tag is not specified.","HTML идентификатор (ID) или клас няма да дадат резултат, ако не е определен HTML тагът."
label,етикет
Element name and destination must be specified.,Трябва да се определят името на елемента и дестинацията.
Invalid layout update handle,Невалидно име за обновяване на оформлението
Theme layout update file '%1' must not declare page types.,Файлът за обновяване оформлението на темата '%1' не трябва да декларира типове страници.
Unable to find a physical ancestor for a theme '%1'.,Не беше намерен физически предшественик на темата '%1'.
Helper arguments should not be used in custom layout updates.,Аргументите на помощниците не трябва да се използват в персонализирани обновявания на оформлението.
Updater model should not be used in custom layout updates.,Моделът на актуализатора не трябва да се използва в персонализирани обновявания на оформлението.
Please correct the XML data and try again. %value%,"Моля, коригирайте XML данните и опитайте отново. %value%"
%1 isn't allowed,%1 не е разрешен/а
"This class must implement the ""CompilerInterface""","Този клас трябва да имплементира ""CompilerInterface"""
"This class must implement the ""ResultInterface""","Този клас трябва да имплементира ""ResultInterface"""
"This class must inherit from a class ""Template""","Този клас трябва да наследява класа ""Template"""
test,тест
my message,моето съобщение
Internal Error. Details are available in Magento log file. Report ID: %1,Вътрешна грешка. Повече подробности ще намерите в лог файла на Magento. Доклад ID: %1
Server internal error. See details in report api/%1,Вътрешна сървърна грешка. Вижте повече в доклада api/%1
Incorrect format of request URI or Requested services are missing.,Неправилен формат на URI на заявката или заявените услуги не са налични.
Content-Type header is empty.,Хедърът Content-Type е празен.
Content-Type header is invalid.,Хедърът Content-Type е невалиден.
UTF-8 is the only supported charset.,Поддържа се само кодова таблица UTF-8.
Request method is invalid.,Методът на заявка е невалиден.
Decoding error.,Грешка при декодиране.
Decoding error: %1%2%3%4,Грешка при декодиране: %1%2%3%4
Decoding Error: %1,Грешка при декодиране: %1
Server cannot understand Content-Type HTTP header media type %1,Сървърът не може да разбере зададения в HTTP хедъра Content-Type тип медия %1
"Server cannot match any of the given Accept HTTP header media type(s) from the request: ""%1"" with media types from the config of response renderer.","Сървърът не може да match any of the given Accept HTTP header media type(s) from the request: ""%1"" with media types from the config of response renderer."
"Error occurred during ""%field_name"" processing. %details","Възникна грешка при обработването на ""%field_name"". %details"
"Attribute ""%attribute_code"" has invalid value. %details","Атрибутът ""%attribute_code"" е с невалидна стойност. %details"
There is an empty custom attribute specified.,Определен е празен персонализиран атрибут.
A custom attribute is specified without an attribute code.,Определен е персонализиран атрибут без код на атрибута.
"Value is not set for attribute code ""' . . '""","Не е зададена стойност на кода на атрибут ""' . . '"""
Consumer %consumer_id is not authorized to access %resources,Потребителят %consumer_id няма разрешение за достъп до %resources
Exception message.,Съобщение за изключение.
Message.,Съобщение.
Read Details,Прочети подробно
Mark as Read,Маркирай като прочетено
Are you sure?,Сигурни ли сте?
Remove,Изтрий
Messages Inbox,Входящи съобщения
You have %1 new system messages,Имате %1 нови системни съобщения
You have %1 new system message,Имате %1 ново системно съобщение
Incoming Message,Входящо съобщение
close,затвори
Notifications,Известия
The message has been marked as Read.,Съобщението беше маркирано като прочетено.
We couldn't mark the notification as Read because of an error.,"Възникна грешка, която не позволи да маркираме известието като прочетено."
Please select messages.,"Моля, изберете съобщения."
A total of %1 record(s) have been marked as Read.,Общо %1 запис(а) беше/бяха маркиран(и) като прочетен(и).
Total of %1 record(s) have been removed.,Общо %1 запис(а) беше/бяха изтрит(и).
We couldn't remove the messages because of an error.,"Възникна грешка, която не позволи да изтрием съобщенията."
The message has been removed.,Съобщението беше изтрито.
1 Hour,1 час
2 Hours,2 часа
6 Hours,6 часа
12 Hours,12 часа
24 Hours,24 часа
critical,критично
major,важно
minor,маловажно
notice,известие
Wrong message type,Грешен тип съобщение
Wrong notification ID specified.,Зададена е грешна идентификация на известие.
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","Не Ви препоръчваме да използвате {{base_url}} в работна среда, за да декларирате Base Unsecure URL / Base Secure URL. Силно препоръчваме да промените тази стойност във Вашата Magento <a href=""%1"">конфигурация</a>."
